story_id,title,content,vocab_word,vocab_type,vocab_meaning,thai_translation
19,Salary Negotiation,"I asked my boss for a salary increase. I prepared my achievements and performance. I showed how I contributed to the company. My boss listened carefully. We discussed numbers and benefits. Finally, we agreed on a fair increase. I am happy with the result.",salary,noun,เงินเดือน,"ฉันขอขึ้นเงินเดือนจากเจ้านายของฉัน ฉันเตรียมความสำเร็จและผลงานของฉัน ฉันแสดงให้เห็นว่าฉันมีส่วนช่วยบริษัทอย่างไร เจ้านายของฉันฟังอย่างตั้งใจ เราคุยเรื่องตัวเลขและสวัสดิการ ในที่สุดเราตกลงกันเรื่องการขึ้นเงินเดือนที่เหมาะสม ฉันพอใจกับผลลัพธ์"
19,Salary Negotiation,"I asked my boss for a salary increase. I prepared my achievements and performance. I showed how I contributed to the company. My boss listened carefully. We discussed numbers and benefits. Finally, we agreed on a fair increase. I am happy with the result.",increase,noun,การเพิ่มขึ้น,""
19,Salary Negotiation,"I asked my boss for a salary increase. I prepared my achievements and performance. I showed how I contributed to the company. My boss listened carefully. We discussed numbers and benefits. Finally, we agreed on a fair increase. I am happy with the result.",achievement,noun,ความสำเร็จ,""
20,Business Trip,Next week I will go on a business trip to Singapore. I will meet partners and customers. I need to prepare my documents. I book a hotel and flight. I pack my luggage carefully. I will stay for three days. I am excited to visit a new country.,business trip,noun,การเดินทางไปราชการ,"สัปดาห์หน้าฉันจะไปเดินทางไปราชการที่สิงคโปร์ ฉันจะพบกับพันธมิตรและลูกค้า ฉันต้องเตรียมเอกสารของฉัน ฉันจองโรงแรมและเที่ยวบิน ฉันแพ็คกระเป๋าอย่างระมัดระวัง ฉันจะพักสามวัน ฉันตื่นเต้นที่จะได้ไปเยือนประเทศใหม่"
20,Business Trip,Next week I will go on a business trip to Singapore. I will meet partners and customers. I need to prepare my documents. I book a hotel and flight. I pack my luggage carefully. I will stay for three days. I am excited to visit a new country.,partners,noun,หุ้นส่วน,""
20,Business Trip,Next week I will go on a business trip to Singapore. I will meet partners and customers. I need to prepare my documents. I book a hotel and flight. I pack my luggage carefully. I will stay for three days. I am excited to visit a new country.,luggage,noun,กระเป๋าเดินทาง,""
21,At the Coffee Shop,I go to a coffee shop near my office every morning. I order a latte and a croissant. The barista knows me well. Sometimes I meet my friends there. We chat and enjoy our coffee. The coffee shop is cozy and comfortable. It is my favorite place to relax.,latte,noun,ลาเต้,"ฉันไปร้านกาแฟใกล้ที่ทำงานทุกเช้า ฉันสั่งลาเต้และครัวซองต์ บาริสต้ารู้จักฉันดี บางครั้งฉันเจอเพื่อนๆ ที่นั่น เราคุยกันและเพลิดเพลินกับกาแฟ ร้านกาแฟอบอุ่นและสะดวกสบาย มันเป็นสถานที่โปรดของฉันในการพักผ่อน"
21,At the Coffee Shop,I go to a coffee shop near my office every morning. I order a latte and a croissant. The barista knows me well. Sometimes I meet my friends there. We chat and enjoy our coffee. The coffee shop is cozy and comfortable. It is my favorite place to relax.,barista,noun,พนักงานชงกาแฟ,""
21,At the Coffee Shop,I go to a coffee shop near my office every morning. I order a latte and a croissant. The barista knows me well. Sometimes I meet my friends there. We chat and enjoy our coffee. The coffee shop is cozy and comfortable. It is my favorite place to relax.,cozy,adjective,อบอุ่น/สบาย,""
22,Visiting the Doctor,I feel sick today. I have a fever and a headache. I go to see the doctor. The doctor checks my temperature and throat. He says I have a cold. He gives me medicine and tells me to rest. I go home and sleep all day. I feel better tomorrow.,fever,noun,ไข้,"วันนี้ฉันรู้สึกไม่สบาย ฉันมีไข้และปวดหัว ฉันไปหาหมอ หมอตรวจอุณหภูมิและลำคอของฉัน เขาบอกว่าฉันเป็นหวัด เขาให้ยาและบอกให้ฉันพักผ่อน ฉันกลับบ้านและนอนทั้งวัน ฉันจะรู้สึกดีขึ้นพรุ่งนี้"
22,Visiting the Doctor,I feel sick today. I have a fever and a headache. I go to see the doctor. The doctor checks my temperature and throat. He says I have a cold. He gives me medicine and tells me to rest. I go home and sleep all day. I feel better tomorrow.,headache,noun,ปวดหัว,""
22,Visiting the Doctor,I feel sick today. I have a fever and a headache. I go to see the doctor. The doctor checks my temperature and throat. He says I have a cold. He gives me medicine and tells me to rest. I go home and sleep all day. I feel better tomorrow.,medicine,noun,ยา,""
23,Celebrating a Birthday,It is my mother's birthday today. We prepare a surprise party. I buy a cake and some flowers. My father cooks a special dinner. My sister decorates the house. We sing Happy Birthday and give gifts. My mother is very happy. She thanks everyone.,celebrate,verb,เฉลิมฉลอง,"วันนี้เป็นวันเกิดของแม่ฉัน เราเตรียมงานเซอร์ไพรส์ ฉันซื้อเค้กและดอกไม้ พ่อของฉันทำอาหารเย็นพิเศษ น้องสาวของฉันตกแต่งบ้าน เราร้องเพลง Happy Birthday และให้ของขวัญ แม่ของฉันมีความสุขมาก เธอขอบคุณทุกคน"
23,Celebrating a Birthday,It is my mother's birthday today. We prepare a surprise party. I buy a cake and some flowers. My father cooks a special dinner. My sister decorates the house. We sing Happy Birthday and give gifts. My mother is very happy. She thanks everyone.,surprise,noun,ความประหลาดใจ,""
23,Celebrating a Birthday,It is my mother's birthday today. We prepare a surprise party. I buy a cake and some flowers. My father cooks a special dinner. My sister decorates the house. We sing Happy Birthday and give gifts. My mother is very happy. She thanks everyone.,decorate,verb,ตกแต่ง,""
24,Shopping Online,I like to shop online for clothes. It is easy and convenient. I browse many websites. I compare prices and read reviews. I choose a jacket and a pair of jeans. I enter my address and pay with a credit card. The package arrives in three days. I love my new clothes.,browse,verb,เลือกชม/ค้นดู,"ฉันชอบช้อปปิ้งออนไลน์สำหรับเสื้อผ้า มันง่ายและสะดวก ฉันเรียกดูเว็บไซต์มากมาย ฉันเปรียบเทียบราคาและอ่านรีวิว ฉันเลือกแจ็คเก็ตและกางเกงยีนส์ ฉันป้อนที่อยู่และชำระเงินด้วยบัตรเครดิต พัสดุมาถึงในสามวัน ฉันรักเสื้อผ้าใหม่ของฉัน"
24,Shopping Online,I like to shop online for clothes. It is easy and convenient. I browse many websites. I compare prices and read reviews. I choose a jacket and a pair of jeans. I enter my address and pay with a credit card. The package arrives in three days. I love my new clothes.,compare,verb,เปรียบเทียบ,""
24,Shopping Online,I like to shop online for clothes. It is easy and convenient. I browse many websites. I compare prices and read reviews. I choose a jacket and a pair of jeans. I enter my address and pay with a credit card. The package arrives in three days. I love my new clothes.,package,noun,พัสดุ/บรรจุภัณฑ์,""
25,Family Gathering,Every Sunday my family has a gathering. My grandparents come to our house. We cook traditional dishes together. We share stories and memories. My uncle plays the guitar and we sing. The children play in the garden. We always enjoy this family time.,gathering,noun,การรวมตัวกัน,"ทุกวันอาทิตย์ครอบครัวของฉันมีการรวมตัวกัน คุณปู่คุณย่ามาที่บ้านของเรา เราทำอาหารพื้นเมืองด้วยกัน เราแบ่งปันเรื่องราวและความทรงจำ ลุงของฉันเล่นกีตาร์และเราร้องเพลง เด็กๆเล่นในสวน เราสนุกกับเวลาครอบครัวนี้เสมอ"
25,Family Gathering,Every Sunday my family has a gathering. My grandparents come to our house. We cook traditional dishes together. We share stories and memories. My uncle plays the guitar and we sing. The children play in the garden. We always enjoy this family time.,traditional,adjective,ดั้งเดิม/ประเพณี,""
25,Family Gathering,Every Sunday my family has a gathering. My grandparents come to our house. We cook traditional dishes together. We share stories and memories. My uncle plays the guitar and we sing. The children play in the garden. We always enjoy this family time.,memories,noun,ความทรงจำ,""
